year;industry;value
2000.0;    Insurance Carriers & Related Activities and Funds & Other Financial Vehicles;27000.0
2000.0;   Real Estate;28900.0
2000.0;   Rental & Leasing Services and Owners & Lessors of Other Non-Financial Assets;9200.0
2000.0;Professional, Scientific and Technical Services;136300.0
2000.0;   Legal Services;18700.0
2000.0;   Accounting and Tax Preparation;19900.0
2000.0;   Architectural, Engineering and Design Services;32000.0
2000.0;   Computer System Design Services;31900.0
2000.0;   Management, Scientific and Technical Services;19400.0
2000.0;   Advertising and Related Services;6500.0
2000.0;   Other Professional Services;7900.0
2000.0;Business, Building and Other Support Services;69700.0
2000.0;   Employment Services;6400.0
2000.0;   Business Services;5800.0
2000.0;   Travelling Services;7500.0
2000.0;   Security Services;9200.0
2000.0;   Building Services;32200.0
2000.0;   Management of Enterprises and Other Administrative Services;5700.0
2000.0;   Waste Management and Remediation Services;3000.0
2000.0;Educational Services;135700.0
2000.0;   Primary and Secondary;87000.0
2000.0;   Post-Secondary;14700.0
2000.0;   University;16300.0
2000.0;   Other Schools and Educational Support;17700.0
2000.0;Health Care and Social Assistance;200800.0
2000.0;   Ambulatory Health Care Services;52500.0
2000.0;   Hospitals;70100.0
2000.0;   Nursing and Residential Care Facilities;27300.0
2000.0;   Social Assistance;50900.0
2000.0;Information, culture and recreation;97000.0
2000.0;   Publishing Industries;13700.0
2000.0;   Motion Picture and Sound Recording Industries;10700.0
2000.0;   Broadcasting and Telecommunications;27400.0
2000.0;   Information Services and Data Processing Services;4700.0
2000.0;   Performing Arts, Spectator Sports and Related Industries;12600.0
2000.0;   Heritage Institutions;3600.0
2000.0;   Amusement, Gambling and Recreation Industries;24300.0
2000.0;Accommodation and food services;155600.0
2000.0;   Accommodation Services;37900.0
2000.0;   Food Services and Drinking Places;117700.0
2000.0;Other services;98300.0
2000.0;   Repair and Maintenance;34000.0
2000.0;   Personal and Laundry Services;27900.0
2000.0;   Religious, Grant-Making, Civic, and Professional and Similar Organizations;22300.0
2000.0;   Private Households;14000.0
2000.0;Public administration;91500.0
2000.0;   Federal Government Public Administration (including Defence Services);33500.0
2000.0;   Provincial and Territorial Public Administration;26700.0
2000.0;   Local, Municipal & Regional Public Administration and Aboriginal, Inter & Other Extra-Territorial Public Admin;31200.0
2001.0;All industries;1920900.0
2001.0;Goods-Producing Sector;383800.0
2001.0;Agriculture;25600.0
2001.0;   Crop Production;11100.0
2001.0;   Animal Production;12200.0
2001.0;   Mix farming;
2001.0;   Support Activities for Agriculture;
2001.0;Forestry, fishing, mining, quarrying, oil and gas;41200.0
2001.0;   Forestry and Logging with support activities;25100.0
2001.0;   Fishing, Hunting and Trapping;4700.0
2001.0;   Mining and Oil and Gas Extraction;11400.0
2001.0;      Oil and Gas Extraction;1800.0
2001.0;      Mining (except Oil and Gas) & Mix Mining;5900.0
2001.0;      Support Activities for Mining and Oil and Gas Extraction;3700.0
2001.0;Utilities;10600.0
2001.0;Construction;112300.0
2001.0;  Construction of Buildings;27800.0
2001.0;     Residential Building Construction;19500.0
2001.0;     Non-residential Building Construction;8400.0
2001.0;  Heavy and Civil Engineering Construction;12400.0
2001.0;     Utility System Construction;2800.0
2001.0;     Land Subdivision;
2001.0;     Highway, Street and Bridge Construction;7800.0
2001.0;     Other Heavy and Civil Engineering Construction;
2001.0;   Trade Contracting;72000.0
2001.0;     Foundation Structure and Building Exterior Contractors;14000.0
2001.0;     Building Equipment Contractors;23500.0
2001.0;     Building Finishing Contractors;19900.0
2001.0;     Other Specialty Trade Contractors;14600.0
2001.0;Manufacturing;194100.0
2001.0;   Food Manufacturing;22100.0
2001.0;   Beverage and Tobacco Product Manufacturing;3500.0
2001.0;   Textile Mills & Textile Product Mills;2900.0
2001.0;   Clothing Manufacturing & Leather & Allied Product Manufacturing;9300.0
2001.0;   Wood Product Manufacturing;51300.0
2001.0;   Paper Manufacturing;14600.0
2001.0;   Printing and Related Support Activities;8500.0
2001.0;   Petroleum and Coal Products Manufacturing;
2001.0;   Chemical Manufacturing;5700.0
2001.0;   Plastics and Rubber Products Manufacturing;6800.0
2001.0;   Non-Metallic Mineral Product Manufacturing;5200.0
2001.0;   Primary Metal Manufacturing;8000.0
2001.0;   Fabricated Metal Product Manufacturing;13400.0
2001.0;   Machinery Manufacturing;6500.0
2001.0;   Computer and Electronic Product Manufacturing;7000.0
2001.0;   Electrical Equipment, Appliance and Component Manufacturing;3100.0
2001.0;   Transportation Equipment Manufacturing;10400.0
2001.0;      Motor Vehicle, Body, Trailer & Parts Manufacturing;3900.0
2001.0;      Other Transportation Equipment Manufacturing;6500.0
2001.0;   Furniture and Related Product Manufacturing;5600.0
2001.0;   Miscellaneous Manufacturing;8900.0
2001.0;  Durables;119400.0
2001.0;  Non-durables;74800.0
2001.0;Services-Producing Sector;1537200.0
2001.0;Trade;303300.0
2001.0;   Wholesale;67300.0
2001.0;      Farm Product Wholesaler-Distributors;
2001.0;      Petroleum Product Wholesaler-Distributors;
2001.0;      Food, Beverage and Tobacco Wholesaler-Distributors;10900.0
2001.0;      Personal and Household Goods Wholesaler-Distributors;8100.0
2001.0;      Motor Vehicle and Parts Wholesaler-Distributors;4600.0
2001.0;      Building Material and Supplies Wholesaler-Distributors;9500.0
2001.0;      Machinery, Equipment and Supplies Wholesaler-Distributors;19700.0
2001.0;      Miscellaneous Wholesaler-Distributors & Wholesale Agents & Brokers;11800.0
2001.0;   Retail;236000.0
2001.0;      Motor Vehicle and Parts Dealers;25800.0
2001.0;      Furniture and Home Furnishings Stores;7700.0
2001.0;      Electronics and Appliance Stores;10300.0
2001.0;      Building Material and Garden Equipment and Supplies Dealers;12900.0
2001.0;      Food and Beverage Stores;61300.0
2001.0;      Health and Personal Care Stores;17200.0
2001.0;      Gasoline Stations;11000.0
2001.0;      Clothing and Clothing Accessories Stores;20300.0
2001.0;      Sporting Goods, Hobby, Book and Music Stores;12400.0
2001.0;      General Merchandise Stores;26600.0
2001.0;      Miscellaneous Store Retailers;24300.0
2001.0;      Non-Store Retailers;6200.0
2001.0;Transportation and Warehousing;112700.0
2001.0;   Transportation;108500.0
2001.0;      Air Transportation;16100.0
2001.0;      Rail Transportation;6500.0
2001.0;      Water Transportation;7100.0
2001.0;      Truck Transportation;27700.0
2001.0;      Transit and Ground Passenger Transportation;15500.0
2001.0;      Pipeline Transportation;
2001.0;      Scenic and Sightseeing Transportation & Support Activities for Transportation;19100.0
2001.0;      Postal Service;8100.0
2001.0;      Couriers and Messengers;8100.0
2001.0;   Warehousing and Storage;4200.0
2001.0;Finance, Insurance, Real Estate and Leasing;120200.0
2001.0;   Monetary Authorities - Central Bank & Credit Intermediation and Related Activities;39000.0
2001.0;   Securities, Commodity Contracts, and Other Intermediation and Related Activities;16400.0
2001.0;    Insurance Carriers & Related Activities and Funds & Other Financial Vehicles;24900.0
2001.0;   Real Estate;27900.0
2001.0;   Rental & Leasing Services and Owners & Lessors of Other Non-Financial Assets;11900.0
2001.0;Professional, Scientific and Technical Services;139200.0
2001.0;   Legal Services;17200.0
2001.0;   Accounting and Tax Preparation;20200.0
2001.0;   Architectural, Engineering and Design Services;32100.0
2001.0;   Computer System Design Services;34300.0
2001.0;   Management, Scientific and Technical Services;21100.0
2001.0;   Advertising and Related Services;6100.0
2001.0;   Other Professional Services;8200.0
2001.0;Business, Building and Other Support Services;70500.0
2001.0;   Employment Services;5200.0
2001.0;   Business Services;7600.0
2001.0;   Travelling Services;8500.0
2001.0;   Security Services;11700.0
2001.0;   Building Services;30900.0
2001.0;   Management of Enterprises and Other Administrative Services;4000.0
2001.0;   Waste Management and Remediation Services;2700.0
2001.0;Educational Services;137300.0
2001.0;   Primary and Secondary;82500.0
2001.0;   Post-Secondary;16200.0
2001.0;   University;19400.0
2001.0;   Other Schools and Educational Support;19200.0
2001.0;Health Care and Social Assistance;197200.0
2001.0;   Ambulatory Health Care Services;47300.0
2001.0;   Hospitals;72100.0
2001.0;   Nursing and Residential Care Facilities;32400.0
2001.0;   Social Assistance;45400.0
2001.0;Information, culture and recreation;103700.0
2001.0;   Publishing Industries;12200.0
2001.0;   Motion Picture and Sound Recording Industries;9700.0
2001.0;   Broadcasting and Telecommunications;32700.0
2001.0;   Information Services and Data Processing Services;5600.0
2001.0;   Performing Arts, Spectator Sports and Related Industries;13700.0
2001.0;   Heritage Institutions;3700.0
2001.0;   Amusement, Gambling and Recreation Industries;26000.0
2001.0;Accommodation and food services;164000.0
2001.0;   Accommodation Services;44000.0
2001.0;   Food Services and Drinking Places;120000.0
2001.0;Other services;98600.0
2001.0;   Repair and Maintenance;36700.0
2001.0;   Personal and Laundry Services;31900.0
2001.0;   Religious, Grant-Making, Civic, and Professional and Similar Organizations;18500.0
2001.0;   Private Households;11400.0
2001.0;Public administration;90300.0
2001.0;   Federal Government Public Administration (including Defence Services);30300.0
2001.0;   Provincial and Territorial Public Administration;33200.0
2001.0;   Local, Municipal & Regional Public Administration and Aboriginal, Inter & Other Extra-Territorial Public Admin;26800.0
2002.0;All industries;1952400.0
2002.0;Goods-Producing Sector;392800.0
2002.0;Agriculture;29800.0
2002.0;   Crop Production;16500.0
2002.0;   Animal Production;10900.0
2002.0;   Mix farming;
2002.0;   Support Activities for Agriculture;1800.0
2002.0;Forestry, fishing, mining, quarrying, oil and gas;37400.0
2002.0;   Forestry and Logging with support activities;25100.0
2002.0;   Fishing, Hunting and Trapping;3100.0
2002.0;   Mining and Oil and Gas Extraction;9200.0
2002.0;      Oil and Gas Extraction;2000.0
2002.0;      Mining (except Oil and Gas) & Mix Mining;4200.0
2002.0;      Support Activities for Mining and Oil and Gas Extraction;3000.0
2002.0;Utilities;10900.0
2002.0;Construction;116800.0
2002.0;  Construction of Buildings;27300.0
2002.0;     Residential Building Construction;18000.0
2002.0;     Non-residential Building Construction;9300.0
2002.0;  Heavy and Civil Engineering Construction;13800.0
2002.0;     Utility System Construction;3400.0
2002.0;     Land Subdivision;2300.0
2002.0;     Highway, Street and Bridge Construction;6500.0
2002.0;     Other Heavy and Civil Engineering Construction;1600.0
2002.0;   Trade Contracting;75700.0
2002.0;     Foundation Structure and Building Exterior Contractors;11800.0
2002.0;     Building Equipment Contractors;23700.0
2002.0;     Building Finishing Contractors;25800.0
2002.0;     Other Specialty Trade Contractors;14400.0
2002.0;Manufacturing;197900.0
2002.0;   Food Manufacturing;23700.0
2002.0;   Beverage and Tobacco Product Manufacturing;3300.0
2002.0;   Textile Mills & Textile Product Mills;3300.0
2002.0;   Clothing Manufacturing & Leather & Allied Product Manufacturing;5300.0
2002.0;   Wood Product Manufacturing;48200.0
2002.0;   Paper Manufacturing;16800.0
2002.0;   Printing and Related Support Activities;8500.0
2002.0;   Petroleum and Coal Products Manufacturing;
2002.0;   Chemical Manufacturing;6400.0
2002.0;   Plastics and Rubber Products Manufacturing;5700.0
2002.0;   Non-Metallic Mineral Product Manufacturing;6800.0
2002.0;   Primary Metal Manufacturing;5600.0
2002.0;   Fabricated Metal Product Manufacturing;13100.0
2002.0;   Machinery Manufacturing;10100.0
2002.0;   Computer and Electronic Product Manufacturing;10100.0
2002.0;   Electrical Equipment, Appliance and Component Manufacturing;3100.0
2002.0;   Transportation Equipment Manufacturing;13500.0
2002.0;      Motor Vehicle, Body, Trailer & Parts Manufacturing;5000.0
2002.0;      Other Transportation Equipment Manufacturing;8500.0
2002.0;   Furniture and Related Product Manufacturing;5000.0
2002.0;   Miscellaneous Manufacturing;9100.0
2002.0;  Durables;124500.0
2002.0;  Non-durables;73300.0
2002.0;Services-Producing Sector;1559700.0
2002.0;Trade;318500.0
2002.0;   Wholesale;72200.0
2002.0;      Farm Product Wholesaler-Distributors;2000.0
2002.0;      Petroleum Product Wholesaler-Distributors;
2002.0;      Food, Beverage and Tobacco Wholesaler-Distributors;11200.0
2002.0;      Personal and Household Goods Wholesaler-Distributors;8500.0
2002.0;      Motor Vehicle and Parts Wholesaler-Distributors;4000.0
2002.0;      Building Material and Supplies Wholesaler-Distributors;10900.0
2002.0;      Machinery, Equipment and Supplies Wholesaler-Distributors;20100.0
2002.0;      Miscellaneous Wholesaler-Distributors & Wholesale Agents & Brokers;14300.0
2002.0;   Retail;246300.0
2002.0;      Motor Vehicle and Parts Dealers;23800.0
2002.0;      Furniture and Home Furnishings Stores;9500.0
2002.0;      Electronics and Appliance Stores;12900.0
2002.0;      Building Material and Garden Equipment and Supplies Dealers;13600.0
2002.0;      Food and Beverage Stores;64000.0
2002.0;      Health and Personal Care Stores;20000.0
2002.0;      Gasoline Stations;12200.0
2002.0;      Clothing and Clothing Accessories Stores;21500.0
2002.0;      Sporting Goods, Hobby, Book and Music Stores;10900.0
2002.0;      General Merchandise Stores;29000.0
2002.0;      Miscellaneous Store Retailers;23100.0
2002.0;      Non-Store Retailers;6000.0
2002.0;Transportation and Warehousing;110300.0
2002.0;   Transportation;105200.0
2002.0;      Air Transportation;14200.0
2002.0;      Rail Transportation;6600.0
2002.0;      Water Transportation;6400.0
2002.0;      Truck Transportation;27800.0
2002.0;      Transit and Ground Passenger Transportation;16600.0
2002.0;      Pipeline Transportation;
2002.0;      Scenic and Sightseeing Transportation & Support Activities for Transportation;19700.0
2002.0;      Postal Service;7200.0
2002.0;      Couriers and Messengers;6600.0
2002.0;   Warehousing and Storage;5100.0
2002.0;Finance, Insurance, Real Estate and Leasing;123800.0
2002.0;   Monetary Authorities - Central Bank & Credit Intermediation and Related Activities;39100.0
2002.0;   Securities, Commodity Contracts, and Other Intermediation and Related Activities;17700.0
2002.0;    Insurance Carriers & Related Activities and Funds & Other Financial Vehicles;23700.0
2002.0;   Real Estate;32300.0
2002.0;   Rental & Leasing Services and Owners & Lessors of Other Non-Financial Assets;11000.0
2002.0;Professional, Scientific and Technical Services;134000.0
2002.0;   Legal Services;21200.0
2002.0;   Accounting and Tax Preparation;20500.0
2002.0;   Architectural, Engineering and Design Services;31600.0
2002.0;   Computer System Design Services;25600.0
2002.0;   Management, Scientific and Technical Services;20500.0
2002.0;   Advertising and Related Services;6400.0
2002.0;   Other Professional Services;8100.0
2002.0;Business, Building and Other Support Services;71800.0
2002.0;   Employment Services;5300.0
2002.0;   Business Services;6800.0
2002.0;   Travelling Services;9000.0
2002.0;   Security Services;6700.0
2002.0;   Building Services;36700.0
2002.0;   Management of Enterprises and Other Administrative Services;3300.0
2002.0;   Waste Management and Remediation Services;3900.0
2002.0;Educational Services;136700.0
2002.0;   Primary and Secondary;80200.0
2002.0;   Post-Secondary;14600.0
2002.0;   University;21400.0
2002.0;   Other Schools and Educational Support;20500.0
2002.0;Health Care and Social Assistance;211200.0
2002.0;   Ambulatory Health Care Services;51100.0
2002.0;   Hospitals;76300.0
2002.0;   Nursing and Residential Care Facilities;35100.0
2002.0;   Social Assistance;48700.0
2002.0;Information, culture and recreation;105000.0
2002.0;   Publishing Industries;11300.0
2002.0;   Motion Picture and Sound Recording Industries;10100.0
2002.0;   Broadcasting and Telecommunications;30800.0
2002.0;   Information Services and Data Processing Services;4400.0
2002.0;   Performing Arts, Spectator Sports and Related Industries;20500.0
2002.0;   Heritage Institutions;2500.0
2002.0;   Amusement, Gambling and Recreation Industries;25400.0
2002.0;Accommodation and food services;163000.0
2002.0;   Accommodation Services;39400.0
2002.0;   Food Services and Drinking Places;123600.0
2002.0;Other services;96000.0
2002.0;   Repair and Maintenance;36700.0
2002.0;   Personal and Laundry Services;24100.0
2002.0;   Religious, Grant-Making, Civic, and Professional and Similar Organizations;20800.0
2002.0;   Private Households;14400.0
2002.0;Public administration;89500.0
2002.0;   Federal Government Public Administration (including Defence Services);32800.0
2002.0;   Provincial and Territorial Public Administration;27500.0
2002.0;   Local, Municipal & Regional Public Administration and Aboriginal, Inter & Other Extra-Territorial Public Admin;29200.0
2003.0;All industries;1998100.0
2003.0;Goods-Producing Sector;413000.0
2003.0;Agriculture;33200.0
2003.0;   Crop Production;15800.0
2003.0;   Animal Production;13600.0
2003.0;   Mix farming;1600.0
2003.0;   Support Activities for Agriculture;2200.0
2003.0;Forestry, fishing, mining, quarrying, oil and gas;44500.0
2003.0;   Forestry and Logging with support activities;26900.0
2003.0;   Fishing, Hunting and Trapping;4500.0
2003.0;   Mining and Oil and Gas Extraction;13100.0
2003.0;      Oil and Gas Extraction;2500.0
2003.0;      Mining (except Oil and Gas) & Mix Mining;6400.0
2003.0;      Support Activities for Mining and Oil and Gas Extraction;4200.0
2003.0;Utilities;11100.0
2003.0;Construction;117600.0
2003.0;  Construction of Buildings;31400.0
2003.0;     Residential Building Construction;21600.0
2003.0;     Non-residential Building Construction;9700.0
2003.0;  Heavy and Civil Engineering Construction;15100.0
2003.0;     Utility System Construction;2900.0
2003.0;     Land Subdivision;2000.0
2003.0;     Highway, Street and Bridge Construction;8400.0
2003.0;     Other Heavy and Civil Engineering Construction;1800.0
2003.0;   Trade Contracting;71200.0
2003.0;     Foundation Structure and Building Exterior Contractors;12200.0
2003.0;     Building Equipment Contractors;22700.0
2003.0;     Building Finishing Contractors;21500.0
2003.0;     Other Specialty Trade Contractors;14700.0
2003.0;Manufacturing;206500.0
2003.0;   Food Manufacturing;27100.0
2003.0;   Beverage and Tobacco Product Manufacturing;4300.0
2003.0;   Textile Mills & Textile Product Mills;1800.0
2003.0;   Clothing Manufacturing & Leather & Allied Product Manufacturing;5600.0
2003.0;   Wood Product Manufacturing;51400.0
2003.0;   Paper Manufacturing;14300.0
2003.0;   Printing and Related Support Activities;7800.0
2003.0;   Petroleum and Coal Products Manufacturing;2000.0
2003.0;   Chemical Manufacturing;7100.0
2003.0;   Plastics and Rubber Products Manufacturing;7200.0
2003.0;   Non-Metallic Mineral Product Manufacturing;5600.0
2003.0;   Primary Metal Manufacturing;9200.0
2003.0;   Fabricated Metal Product Manufacturing;13800.0
2003.0;   Machinery Manufacturing;8800.0
2003.0;   Computer and Electronic Product Manufacturing;10100.0
2003.0;   Electrical Equipment, Appliance and Component Manufacturing;2800.0
2003.0;   Transportation Equipment Manufacturing;12000.0
2003.0;      Motor Vehicle, Body, Trailer & Parts Manufacturing;5100.0
2003.0;      Other Transportation Equipment Manufacturing;6900.0
2003.0;   Furniture and Related Product Manufacturing;4400.0
2003.0;   Miscellaneous Manufacturing;11300.0
2003.0;  Durables;129300.0
2003.0;  Non-durables;77200.0
2003.0;Services-Producing Sector;1585100.0
2003.0;Trade;325600.0
2003.0;   Wholesale;76300.0
2003.0;      Farm Product Wholesaler-Distributors;
2003.0;      Petroleum Product Wholesaler-Distributors;
2003.0;      Food, Beverage and Tobacco Wholesaler-Distributors;11600.0
2003.0;      Personal and Household Goods Wholesaler-Distributors;10400.0
2003.0;      Motor Vehicle and Parts Wholesaler-Distributors;5100.0
2003.0;      Building Material and Supplies Wholesaler-Distributors;8800.0
2003.0;      Machinery, Equipment and Supplies Wholesaler-Distributors;21400.0
2003.0;      Miscellaneous Wholesaler-Distributors & Wholesale Agents & Brokers;17700.0
2003.0;   Retail;249300.0
2003.0;      Motor Vehicle and Parts Dealers;26700.0
2003.0;      Furniture and Home Furnishings Stores;9300.0
2003.0;      Electronics and Appliance Stores;11400.0
2003.0;      Building Material and Garden Equipment and Supplies Dealers;15400.0
2003.0;      Food and Beverage Stores;70800.0
2003.0;      Health and Personal Care Stores;19000.0
2003.0;      Gasoline Stations;8000.0
2003.0;      Clothing and Clothing Accessories Stores;17800.0
2003.0;      Sporting Goods, Hobby, Book and Music Stores;11300.0
2003.0;      General Merchandise Stores;29900.0
2003.0;      Miscellaneous Store Retailers;23000.0
2003.0;      Non-Store Retailers;6700.0
2003.0;Transportation and Warehousing;114500.0
2003.0;   Transportation;108900.0
2003.0;      Air Transportation;14000.0
2003.0;      Rail Transportation;7800.0
2003.0;      Water Transportation;6600.0
2003.0;      Truck Transportation;29500.0
2003.0;      Transit and Ground Passenger Transportation;12100.0
2003.0;      Pipeline Transportation;
2003.0;      Scenic and Sightseeing Transportation & Support Activities for Transportation;21200.0
2003.0;      Postal Service;8400.0
2003.0;      Couriers and Messengers;8300.0
2003.0;   Warehousing and Storage;5600.0
2003.0;Finance, Insurance, Real Estate and Leasing;125900.0
2003.0;   Monetary Authorities - Central Bank & Credit Intermediation and Related Activities;42500.0
2003.0;   Securities, Commodity Contracts, and Other Intermediation and Related Activities;17600.0
2003.0;    Insurance Carriers & Related Activities and Funds & Other Financial Vehicles;20700.0
2003.0;   Real Estate;34600.0
2003.0;   Rental & Leasing Services and Owners & Lessors of Other Non-Financial Assets;10600.0
2003.0;Professional, Scientific and Technical Services;136000.0
2003.0;   Legal Services;21200.0
2003.0;   Accounting and Tax Preparation;18200.0
2003.0;   Architectural, Engineering and Design Services;35200.0
2003.0;   Computer System Design Services;28500.0
2003.0;   Management, Scientific and Technical Services;20200.0
2003.0;   Advertising and Related Services;5400.0
2003.0;   Other Professional Services;7300.0
2003.0;Business, Building and Other Support Services;78900.0
2003.0;   Employment Services;5700.0
2003.0;   Business Services;10200.0
2003.0;   Travelling Services;6700.0
2003.0;   Security Services;10600.0
2003.0;   Building Services;38400.0
2003.0;   Management of Enterprises and Other Administrative Services;2700.0
2003.0;   Waste Management and Remediation Services;4500.0
2003.0;Educational Services;136800.0
2003.0;   Primary and Secondary;76900.0
2003.0;   Post-Secondary;14000.0
2003.0;   University;30300.0
2003.0;   Other Schools and Educational Support;15700.0
2003.0;Health Care and Social Assistance;214300.0
2003.0;   Ambulatory Health Care Services;57800.0
2003.0;   Hospitals;73700.0
2003.0;   Nursing and Residential Care Facilities;32200.0
2003.0;   Social Assistance;50700.0
2003.0;Information, culture and recreation;105300.0
2003.0;   Publishing Industries;13800.0
2003.0;   Motion Picture and Sound Recording Industries;10700.0
2003.0;   Broadcasting and Telecommunications;21000.0
2003.0;   Information Services and Data Processing Services;4500.0
2003.0;   Performing Arts, Spectator Sports and Related Industries;17100.0
2003.0;   Heritage Institutions;3900.0
2003.0;   Amusement, Gambling and Recreation Industries;34400.0
2003.0;Accommodation and food services;159100.0
2003.0;   Accommodation Services;37200.0
2003.0;   Food Services and Drinking Places;122000.0
2003.0;Other services;93900.0
2003.0;   Repair and Maintenance;35500.0
2003.0;   Personal and Laundry Services;27700.0
2003.0;   Religious, Grant-Making, Civic, and Professional and Similar Organizations;18100.0
2003.0;   Private Households;12600.0
2003.0;Public administration;94600.0
2003.0;   Federal Government Public Administration (including Defence Services);37000.0
2003.0;   Provincial and Territorial Public Administration;28600.0
2003.0;   Local, Municipal & Regional Public Administration and Aboriginal, Inter & Other Extra-Territorial Public Admin;29000.0
2004.0;All industries;2028300.0
2004.0;Goods-Producing Sector;431200.0
2004.0;Agriculture;36000.0
2004.0;   Crop Production;20600.0
2004.0;   Animal Production;11500.0
2004.0;   Mix farming;
2004.0;   Support Activities for Agriculture;2800.0
2004.0;Forestry, fishing, mining, quarrying, oil and gas;35700.0
2004.0;   Forestry and Logging with support activities;21500.0
2004.0;   Fishing, Hunting and Trapping;2900.0
2004.0;   Mining and Oil and Gas Extraction;11300.0
2004.0;      Oil and Gas Extraction;2500.0
2004.0;      Mining (except Oil and Gas) & Mix Mining;3900.0
2004.0;      Support Activities for Mining and Oil and Gas Extraction;4900.0
2004.0;Utilities;9100.0
2004.0;Construction;142100.0
2004.0;  Construction of Buildings;34300.0
2004.0;     Residential Building Construction;23400.0
